latitude,longitude,SO2 density,SO2 density amf,SO2 slant density,SO2 cloud fraction,SO2 sensor zenith angle,SO2 solar azimuth angle,SO2 density 15km,CO density,CO H2O  density,CO cloud height,CO sensor altitude,CO sensor zenith angle,CO solar azimuth angle,NO2  density,NO2 tropospheric density,NO2 stratospheric density,NO2 slant  density,NO2 tropopause pressure,NO2 absorbing aerosol index,NO2 cloud fraction,NO2 sensor altitude,NO2 sensor zenith angle,NO2 solar azimuth angle,Formaldehyde tropospheric HCHO  density,Formaldehyde tropospheric HCHO  density amf,Formaldehyde HCHO slant  density,Formaldehyde cloud fraction,Formaldehyde solar azimuth angle,Formaldehyde sensor zenith angle,UvAerosolIndex absorbing aerosol index,UvAerosolIndex sensor altitude,UvAerosolIndex sensor azimuth angle,UvAerosolIndex sensor zenith angle,UvAerosolIndex solar azimuth angle,UvAerosolIndex solar zenith angle,Ozone O3  density,Ozone O3  density amf,Ozone O3 slant  density,Ozone O3 effective temperature,Ozone cloud fraction,Ozone sensor zenith angle,Ozone solar azimuth angle,Cloud cloud fraction,Cloud cloud top pressure,Cloud cloud top height,Cloud cloud base pressure,Cloud cloud base height,Cloud cloud optical depth,Cloud surface albedo,Cloud sensor zenith angle,Cloud solar azimuth angle,emission
-0.51,29.29,2.05e-05,0.728213548,1.36e-05,0.130988418,39.13719419,-140.8744348,1.24e-05,0.036525684,1772.574405,1869.040414,829787.2871,38.98236793,-140.1580483,4.68e-05,1.64e-05,3.04e-05,9.29e-05,7311.869141,-1.935386372,0.067038417,829859.9604,35.26519455,-138.3439079,0.000169515,1.172826321,0.000143404,0.200754007,-141.8148271,43.05021331,-1.548118838,829747.857,16.15249193,43.48532665,-142.7861407,28.57362702,0.116775055,2.657703512,0.315733045,226.1721703,0.175166166,42.59654117,-143.0978679,0.213607797,63790.29624,3651.190311,66969.47873,3174.572424,8.690601422,0.256830201,39.55763284,-145.1839297,4.0251765
-0.51,29.29,0.000514142,0.748198569,0.00038468,0.110018253,52.86881638,-150.1917572,0.000154132,0.035337523,2703.2368,2809.138386,829883.8287,52.34437833,-133.6837145,3.07e-05,4.27e-07,3.03e-05,8.01e-05,7311.869141,-2.75437355,0.072134808,829527.125,52.86881638,-150.1917572,8.01e-05,1.175467134,1.88e-05,0.279449026,-135.66716,52.81056086,-1.038672679,829892.9606,-41.55763289,41.26903325,-135.3646273,30.27330411,0.117039174,2.619104354,0.31082768,227.4692925,0.606091298,41.26903325,-135.3646273,0.70353963,55923.79055,4216.986492,60068.89445,3516.282669,21.10340974,0.251101081,30.40182301,-142.5195447,4.231381
-0.51,29.29,-7.88e-05,0.676295994,-4.76e-05,0.121164182,35.51558704,-137.4091595,-2.76e-05,0.034674885,2053.60849,2667.310013,829735.0938,33.70307279,-134.8542576,5.09e-05,2.06e-05,3.03e-05,9.31e-05,7637.262458,-1.450562937,0.049392504,829744.8438,35.07862401,-136.2579474,0.000269432,0.869081199,0.000146414,0.160090225,-134.8265568,39.94906886,-1.584896305,829736.1429,-0.604324755,41.79470512,-136.4485177,25.04578529,0.117373399,2.572242691,0.306687788,228.9558399,0.215739148,41.79470512,-136.4485177,0.189335515,59904.31484,3980.59812,63751.12578,3355.710107,8.114694118,0.235846934,37.39297905,-141.5098053,4.347317
-0.51,29.29,0.000294335,0.87171331,0.000241655,0.227655597,57.0971241,-136.6168594,7.61e-05,0.035296326,2057.969243,3109.713019,829657.7292,43.19826947,-135.1584099,1.34e-05,-1.94e-05,3.28e-05,8.17e-05,8613.468843,-1.659020901,0.099592946,829323.8125,63.3517952,-151.4043732,0.000215393,1.291481614,0.000194356,0.264063423,-135.0737813,43.09036064,-1.282236758,829750.4078,-12.6949387,42.61211745,-131.5466699,24.38323063,0.117128516,2.589197877,0.307846734,226.4046247,0.493158364,42.61211745,-131.5466699,0.450184389,43494.92174,5530.354546,49846.00101,4495.301362,7.556143492,0.250228429,37.00702015,-137.388719,4.3108187
-0.51,29.29,-0.000285264,0.791955829,-0.000225916,0.11939659,58.49636841,-143.7269135,-8.81e-05,0.032866199,1381.990234,3032.115234,829465.3438,47.93819237,-138.460495,4.32e-05,1.19e-05,3.12e-05,0.000111934,7311.869141,-1.475391626,0.074321263,829375.5625,58.49636841,-143.7269135,0.000189845,1.038960318,8.92e-05,0.277281083,-134.5254822,32.51637379,-0.729849328,829785.2857,-24.96465519,35.59494897,-125.1854477,23.93304866,0.118835885,2.490735463,0.300611275,228.6588222,0.632641455,35.59494897,-125.1854477,0.524988036,53483.78398,4378.614648,58804.27656,3537.050659,10.49310684,0.24082846,30.49154129,-128.1963379,4.2693343
-0.51,29.29,-1.62e-05,0.97631079,-1.58e-05,0.10679891,23.73984146,-114.8876495,-7.86e-06,0.036543282,2089.307312,2575.835022,829674.5625,35.09266663,-120.4816628,4.44e-05,9.96e-06,3.45e-05,8.62e-05,7311.869141,-1.302379966,0.048415415,829881.0625,23.73984146,-114.8876495,0.000170112,0.98508358,0.000107612,0.10679891,-114.8876495,23.73984146,-1.021427564,829698.9896,16.37118407,35.88048798,-122.2583873,20.42453397,0.120437315,2.347135429,0.287378565,228.4941302,0.75235637,32.48287037,-119.6835389,0.813219317,57524.05825,3468.924146,63697.00727,2597.071563,20.53359967,0.250168468,35.84024826,-122.250699,4.251361
-0.51,29.29,-0.000114692,0.796940641,-0.000101399,0.164971204,31.16156013,-109.5956047,-5.08e-05,0.032543161,1979.946045,2830.622721,829662.8125,31.70761458,-115.4458898,4.15e-05,6.52e-06,3.26e-05,8.97e-05,8613.450356,-1.140575787,0.093848141,829890.8958,31.16156013,-109.5956047,0.000144135,1.074556411,0.000101872,0.19956562,-113.4348894,37.99534422,-1.204100349,829704.8727,0.006593362,44.95882057,-115.8024162,20.89167865,0.11846295,2.69990304,0.324800517,226.8328668,0.518513299,44.95882057,-115.8024162,0.534341825,61137.69752,3160.26467,67222.55616,2530.851476,24.25392792,0.260542576,42.68878924,-114.2963686,4.2819366
-0.51,29.29,5.56e-05,0.99854094,1.43e-05,0.157726044,33.59201525,-101.9441545,1.33e-05,0.037335115,2215.801032,2116.495497,829798.7217,31.67824677,-104.0960067,4.97e-05,1.64e-05,3.33e-05,8.89e-05,8613.421201,-1.286206325,0.016149476,829876.3337,23.73951815,-99.82277072,2.39e-05,1.304690172,-2.18e-05,0.157732233,-101.9461792,33.59201669,-1.194811338,829792.3795,-50.66634525,31.55996402,-105.1308488,21.46764467,0.121190546,2.338469876,0.287758621,228.8294299,0.650794655,31.55127819,-105.1310466,0.663893283,54818.475,4141.07334,60298.71797,3510.293652,13.81337862,0.289294934,28.59621124,-105.6871765,4.3529334
-0.51,29.29,0.000148946,0.728321351,0.000102045,0.113218856,31.66566366,-100.9355908,5.19e-05,0.033039508,1618.426345,1439.832755,829642.125,24.17648451,-98.40735441,4.21e-05,9.43e-06,3.27e-05,9.06e-05,8288.035354,-1.869588879,0.076057399,829594.674,31.66566396,-100.9366503,0.000241845,0.963115525,0.000164897,0.098163513,-100.9686953,37.19515038,-1.251782241,829700.9655,25.01289038,36.47023691,-98.10886989,18.78816031,0.120090148,2.469537031,0.30106719,228.1001025,0.446389354,36.47023691,-98.10886989,0.428406925,64737.89088,3039.951896,69162.28887,2575.371424,12.98501246,0.253665044,40.58769207,-98.40528874,4.305424
-0.51,29.29,0.000296812,0.761711986,0.000199789,0.143116634,39.31247729,-87.95862999,8.65e-05,0.033685227,1772.364698,2296.393642,829856.9219,36.06035666,-88.96056248,4.42e-05,8.31e-06,3.59e-05,0.000100585,8353.119653,-1.791382223,0.085659467,829805.7,39.31247729,-87.95862999,0.000113532,1.049446355,4.72e-05,0.177572036,-88.87151814,42.50995651,-1.915698319,829736.6458,-13.11077619,42.50995651,-88.87151814,20.18722592,0.121600998,2.56438257,0.316966302,229.7008075,0.179523777,42.50995651,-88.87151814,0.183974711,52835.43717,4497.445455,58430.73991,3655.228129,6.199493011,0.279614449,42.54525375,-88.8731486,4.2373986
